date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:00	123/123	UR-MC-	400	error ('Bad%20Request')	application/json	date:Tue,%2019%20Dec%202017%2012:21:30%20GMT	http://esites.pro/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fesites.pro%2Fadwords%2F	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-json/oembed/1.0/embed2805.json	(from http://esites.pro/adwords/)
14:19:02	123/123	UR-MC-	400	error ('Bad%20Request')	application/json	date:Tue,%2019%20Dec%202017%2012:21:31%20GMT	http://esites.pro/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fesites.pro%2Fadwords%2F&format=xml	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-json/oembed/1.0/embedf6c4	(from http://esites.pro/adwords/)
14:19:02	31625/31625	UR-MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2012:21:34%20GMT	http://esites.pro/wp-content/uploads/2017/07/Exemplo-Audiencia-geral-e-adw-CPC-Convers%c3%b5es-Destaque-nos-usu%c3%a1rios-20161115-20170215.jpg?x41011	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-content/uploads/2017/07/Exemplo-Audiencia-geral-e-adw-CPC-Convers%c3%b5es-Destaque-nos-usu%c3%a1rios-20161115-20170215e4ec.jpg	(from http://esites.pro/adwords/)
14:19:03	31625/31625	UR-MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2012:21:34%20GMT	http://esites.pro/wp-content/uploads/2017/07/relatorio-adwords-display-pesquisa.jpg?x41011	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-content/uploads/2017/07/relatorio-adwords-display-pesquisae4ec.jpg	(from http://esites.pro/adwords/)
14:19:04	31625/31625	UR-MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2012:21:35%20GMT	http://esites.pro/wp-content/uploads/2017/07/Exemplo-Conversoes-Adwords-usu%c3%a1rios-custo-kw-dias-20161017-20170331.jpg?x41011	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-content/uploads/2017/07/Exemplo-Conversoes-Adwords-usu%c3%a1rios-custo-kw-dias-20161017-20170331e4ec.jpg	(from http://esites.pro/adwords/)
14:19:06	31625/31625	UR-MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2012:21:37%20GMT	http://esites.pro/wp-content/uploads/2017/06/sitemap-xml.jpg?x41011	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-content/uploads/2017/06/sitemap-xmle4ec.jpg	(from http://esites.pro/producao-de-conteudo-navegacao-ux/)
14:19:07	31625/31625	UR-MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2012:21:38%20GMT	http://esites.pro/wp-content/uploads/2017/06/webmaster-tools.jpg?x41011	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-content/uploads/2017/06/webmaster-toolse4ec.jpg	(from http://esites.pro/producao-de-conteudo-navegacao-ux/)
14:19:07	123/123	UR-MC-	400	error ('Bad%20Request')	application/json	date:Tue,%2019%20Dec%202017%2012:21:37%20GMT	http://esites.pro/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fesites.pro%2Fproducao-de-conteudo-navegacao-ux%2F&format=xml	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-json/oembed/1.0/embedfa84	(from http://esites.pro/producao-de-conteudo-navegacao-ux/)
14:19:07	31625/31625	UR-MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2012:21:39%20GMT	http://esites.pro/wp-content/uploads/2017/06/title-description-tags.jpg?x41011	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-content/uploads/2017/06/title-description-tagse4ec.jpg	(from http://esites.pro/producao-de-conteudo-navegacao-ux/)
14:19:10	31625/31625	UR-MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2012:21:41%20GMT	http://esites.pro/wp-content/uploads/2017/06/erros-404.jpg?x41011	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-content/uploads/2017/06/erros-404e4ec.jpg	(from http://esites.pro/migracao/)
14:19:10	123/123	UR-MC-	400	error ('Bad%20Request')	application/json	date:Tue,%2019%20Dec%202017%2012:21:40%20GMT	http://esites.pro/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fesites.pro%2Fmigracao%2F&format=xml	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-json/oembed/1.0/embed7b6f	(from http://esites.pro/migracao/)
14:19:11	31625/31625	UR-MC-	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202017%2012:21:42%20GMT	http://esites.pro/wp-content/uploads/2017/06/redirecionamentos.jpg?x41011	/home/tits/websites/Brazil%20angel%20mobile/esites.pro/wp-content/uploads/2017/06/redirecionamentose4ec.jpg	(from http://esites.pro/migracao/)
14:19:11	60227/-1	---M--	200	added ('OK')	application/rss+xml	etag:%220e76bff04776cdc6bbdf28cd152999da%22	http://usebikeapp.com/feed/?lang=en	/home/tits/websites/Brazil%20angel%20mobile/usebikeapp.com/feed/index9ed2.html	(from http://usebikeapp.com/?lang=en)
14:19:12	748/-1	---M--	200	added ('OK')	application/rss+xml	etag:%226268e054438d3e367c63b30c1d626115%22	http://usebikeapp.com/comments/feed/?lang=en	/home/tits/websites/Brazil%20angel%20mobile/usebikeapp.com/comments/feed/index9ed2.html	(from http://usebikeapp.com/?lang=en)
14:19:13	41421/41421	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Sep%202017%2000:33:48%20GMT	http://parknet.com.br/index.html	/home/tits/websites/Brazil%20angel%20mobile/parknet.com.br/index-2.html	(from http://parknet.com.br/)
14:19:13	23569/23569	UR-M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2017%20Aug%202016%2015:08:02%20GMT	http://usebikeapp.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fusebikeapp.com%2F&lang=en	/home/tits/websites/Brazil%20angel%20mobile/usebikeapp.com/wp-json/oembed/1.0/embed13a1.json	(from http://usebikeapp.com/?lang=en)
